2.817024999999999935e+01,2.202834299999999956e+01,1.963667266666666578e+01,1.802730599999999939e+01,1.699980233333333501e+01,1.704534533333333357e+01;;;;;;;;;
4.366666666666666646e-05,3.106666666666666647e-04,5.810000000000000277e-04,1.101999999999999898e-03,4.488666666666666846e-03,4.268666666666667137e-03;;;;;;;;;
4.407754333333333108e+00,4.356876666666666509e+00,4.462632666666666914e+00,4.357755666666666805e+00,4.408185333333332956e+00,4.408909333333332903e+00;;;;;;;;;
1.516397989999999822e+02,1.524787069999999858e+02,1.520487086666666698e+02,1.524304253333333463e+02,1.524429463333333388e+02,1.525133510000000001e+02;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;Threads;;;;;;;
;;1;2;4;8;16;32;;
Testes;8;28,17025;2,20E+01;19,63667267;18,027306;16,99980233;17,04534533;16;melhora
;9;4,36667E-05;3,11E-04;5,81E-04;1,10E-03;4,49E-03;4,27E-03;1;piora
;10;4,41E+00;4,36E+00;4,46E+00;4,36E+00;4,41E+00;4,41E+00;2;constante
;2;1,52E+02;1,52E+02;1,52E+02;1,52E+02;1,52E+02;1,53E+02;1;constante
